id_municipio,Nombre,Tipo,Latitud,Longitud
2004,Movimiento Juventud 2000, Albergue, 32.5403182, -117.0393728
2004,Desayunador Padre Chava, Comedor, 32.5367559, -117.0321260
2004,Roca de Salvación, Albergue, 32.4703451, -116.9060353
2004,Templo Embajadores de Jesús, Albergue, 32.5078566, -117.0797079
2004,Volviendo a la Patria, Albergue, 32.5359546, -117.0001271
2004,Casas YMCA de menores migrantes (Tijuana), Albergue, 32.5137959, -117.0215203
2004,San Ysidro / El Chaparral,Frontera,32.5392,-117.0242
2003,Tecate (Garita Tecate),Frontera,32.576453,-116.626077
2002,Calexico / Mexicali (Baja California),Frontera,32.6786,-115.4989
2002,Algodones,Frontera,32.7153,-114.7225
26070,Sonoita (Sonora),Frontera,31.8617,-112.8536
26060,Sasabe (Sonora),Frontera,31.4807,-111.5436
26043,Nogales (Sonora),Frontera,31.3322,-110.9395
26039,Naco (Sonora),Frontera,31.3333,-109.9333
26002,Aguaprieta (Sonora),Frontera,31.3211,-109.5628
8005,Puerto Palomas (Chihuahua),Frontera,31.7808,-107.6356
8037,El Paso (Chihuahua),Frontera,31.7420,-106.4869
8052,Ojinaga (Chihuahua),Frontera,29.5669,-104.4160
5025,Eagle Pass (Coahuila),Frontera,28.705460012,-100.5125030
5002,Del Río (Coahuila),Frontera,29.3228,-100.9598
28032,Laredo (Tamaulipas),Frontera,27.4962,-99.5075
28032,Hidalgo (Tamaulipas),Frontera,26.0832,-98.2773
28022,Brownsville (Tamaulipas),Frontera,25.8835,-97.4725
