id_municipio,nom_municipio,nom_estado,fecha_registro,robos,secuestros,grado
4007,Palizada,Campeche,2025-05-01,0.0,0.0,Bajo
4007,Palizada,Campeche,2025-06-01,0.0,0.0,Bajo
4007,Palizada,Campeche,2025-07-01,0.0,0.0,Bajo
4008,Tenabo,Campeche,2025-05-01,1.0,0.0,Bajo
4008,Tenabo,Campeche,2025-06-01,0.0,0.0,Bajo
4008,Tenabo,Campeche,2025-07-01,0.0,0.0,Bajo
4009,Escárcega,Campeche,2025-05-01,0.0,0.0,Bajo
4009,Escárcega,Campeche,2025-06-01,1.0,0.0,Bajo
4009,Escárcega,Campeche,2025-07-01,0.0,0.0,Bajo
4010,Calakmul,Campeche,2025-05-01,0.0,0.0,Bajo
4010,Calakmul,Campeche,2025-06-01,0.0,0.0,Bajo
4010,Calakmul,Campeche,2025-07-01,0.0,0.0,Bajo
4011,Candelaria,Campeche,2025-05-01,0.0,0.0,Bajo
4011,Candelaria,Campeche,2025-06-01,0.0,0.0,Bajo
4011,Candelaria,Campeche,2025-07-01,1.0,0.0,Bajo
4012,Seybaplaya,Campeche,2025-05-01,1.0,0.0,Bajo
4012,Seybaplaya,Campeche,2025-06-01,6.0,0.0,Bajo
4012,Seybaplaya,Campeche,2025-07-01,3.0,0.0,Bajo
4013,Dzitbalché,Campeche,2025-05-01,1.0,0.0,Bajo
4013,Dzitbalché,Campeche,2025-06-01,0.0,0.0,Bajo
4013,Dzitbalché,Campeche,2025-07-01,0.0,0.0,Bajo
7001,Acacoyagua,Chiapas,2025-05-01,0.0,0.0,Bajo
7001,Acacoyagua,Chiapas,2025-06-01,1.0,0.0,Bajo
7001,Acacoyagua,Chiapas,2025-07-01,1.0,0.0,Bajo
7002,Acala,Chiapas,2025-05-01,1.0,0.0,Bajo
7002,Acala,Chiapas,2025-06-01,1.0,0.0,Bajo
7002,Acala,Chiapas,2025-07-01,1.0,0.0,Bajo
7003,Acapetahua,Chiapas,2025-05-01,0.0,0.0,Bajo
7003,Acapetahua,Chiapas,2025-06-01,0.0,0.0,Bajo
7003,Acapetahua,Chiapas,2025-07-01,2.0,0.0,Bajo
7004,Altamirano,Chiapas,2025-05-01,1.0,0.0,Bajo
7004,Altamirano,Chiapas,2025-06-01,0.0,0.0,Bajo
7004,Altamirano,Chiapas,2025-07-01,0.0,0.0,Bajo
7005,Amatán,Chiapas,2025-05-01,1.0,0.0,Bajo
7005,Amatán,Chiapas,2025-06-01,0.0,0.0,Bajo
7005,Amatán,Chiapas,2025-07-01,0.0,0.0,Bajo
7006,Amatenango de la Frontera,Chiapas,2025-05-01,2.0,0.0,Bajo
7006,Amatenango de la Frontera,Chiapas,2025-06-01,0.0,0.0,Bajo
7006,Amatenango de la Frontera,Chiapas,2025-07-01,0.0,0.0,Bajo
7007,Amatenango del Valle,Chiapas,2025-05-01,0.0,0.0,Bajo
7007,Amatenango del Valle,Chiapas,2025-06-01,0.0,0.0,Bajo
7007,Amatenango del Valle,Chiapas,2025-07-01,0.0,0.0,Bajo
7008,Angel Albino Corzo,Chiapas,2025-05-01,0.0,0.0,Bajo
7008,Angel Albino Corzo,Chiapas,2025-06-01,0.0,0.0,Bajo
7008,Angel Albino Corzo,Chiapas,2025-07-01,0.0,0.0,Bajo
7009,Arriaga,Chiapas,2025-05-01,0.0,0.0,Bajo
7009,Arriaga,Chiapas,2025-06-01,5.0,0.0,Bajo
7009,Arriaga,Chiapas,2025-07-01,3.0,0.0,Bajo
7010,Bejucal de Ocampo,Chiapas,2025-05-01,0.0,0.0,Bajo
7010,Bejucal de Ocampo,Chiapas,2025-06-01,0.0,0.0,Bajo
7010,Bejucal de Ocampo,Chiapas,2025-07-01,0.0,0.0,Bajo
7011,Bella Vista,Chiapas,2025-05-01,0.0,0.0,Bajo
7011,Bella Vista,Chiapas,2025-06-01,0.0,0.0,Bajo
7011,Bella Vista,Chiapas,2025-07-01,0.0,0.0,Bajo
7012,Berriozábal,Chiapas,2025-05-01,3.0,0.0,Bajo
7012,Berriozábal,Chiapas,2025-06-01,0.0,0.0,Bajo
7012,Berriozábal,Chiapas,2025-07-01,2.0,0.0,Bajo
7013,Bochil,Chiapas,2025-05-01,0.0,0.0,Bajo
7013,Bochil,Chiapas,2025-06-01,0.0,0.0,Bajo
7013,Bochil,Chiapas,2025-07-01,0.0,0.0,Bajo
7014,El Bosque,Chiapas,2025-05-01,0.0,0.0,Bajo
7014,El Bosque,Chiapas,2025-06-01,0.0,0.0,Bajo
7014,El Bosque,Chiapas,2025-07-01,0.0,0.0,Bajo
7015,Cacahoatán,Chiapas,2025-05-01,0.0,0.0,Bajo
7015,Cacahoatán,Chiapas,2025-06-01,0.0,0.0,Bajo
7015,Cacahoatán,Chiapas,2025-07-01,0.0,0.0,Bajo
7016,Catazajá,Chiapas,2025-05-01,1.0,0.0,Bajo
7016,Catazajá,Chiapas,2025-06-01,1.0,0.0,Bajo
7016,Catazajá,Chiapas,2025-07-01,0.0,0.0,Bajo
7017,Cintalapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7017,Cintalapa,Chiapas,2025-06-01,0.0,0.0,Bajo
7017,Cintalapa,Chiapas,2025-07-01,1.0,0.0,Bajo
7018,Coapilla,Chiapas,2025-05-01,0.0,0.0,Bajo
7018,Coapilla,Chiapas,2025-06-01,0.0,0.0,Bajo
7018,Coapilla,Chiapas,2025-07-01,0.0,0.0,Bajo
